order_id,customer_id,shipping_address_id,coupon_id,status,subtotal,discount_amount,shipping_cost,tax_amount,total_amount,shipping_method,tracking_number,placed_at,delivered_at
225,92,72,,SHIPPED,199.26,18.12,11.3,47.07,239.51,Next Day,TRKF362C2A91E,2025-07-22T20:05:04.818336,
226,156,73,15,REFUNDED,858.93,28.45,22.72,79.76,932.96,Express,,2026-08-30T19:13:37.818336,
227,24,115,,REFUNDED,280.48,39.18,11.1,34.72,287.12,Standard,,2025-03-17T13:43:47.818336,
228,80,28,,PENDING,274.75,48.06,21.49,63.24,311.42,Next Day,,2024-11-05T19:55:39.818336,
229,64,95,,CANCELLED,723.12,7.81,20.76,27.06,763.13,Standard,,2025-05-08T07:09:26.818336,
230,84,106,,DELIVERED,751.94,11.04,15.05,81.77,837.72,Express,TRK3F58575BFE,2026-01-10T23:34:26.818336,2026-02-05T01:58:32.818336
231,174,182,,REFUNDED,892.39,3.48,11.29,43.79,943.99,Next Day,,2025-04-30T02:43:55.818336,
232,98,140,,CANCELLED,841.84,33.11,13.21,27.32,849.26,Express,,2025-08-05T04:56:04.818336,
233,178,162,,DELIVERED,919.26,24.96,10.11,96.89,1001.3,Express,TRKC002E7A894,2025-11-21T19:41:30.818336,2026-03-30T09:19:11.818336
234,140,56,,SHIPPED,834.04,14.8,21.74,56.17,897.15,Standard,TRK5B5800B509,2026-03-14T07:43:53.818336,
235,192,234,,SHIPPED,360.06,21.5,4.56,30.29,373.41,Standard,TRKC6DCBA1A8B,2025-07-13T23:15:12.818336,
236,127,205,,CONFIRMED,436.91,19.52,13.1,58.96,489.45,Standard,,2024-10-26T16:38:00.818336,
237,174,245,,REFUNDED,990.64,35.02,21.75,78.92,1056.29,Standard,,2026-06-23T02:02:13.818336,
238,63,185,,SHIPPED,831.68,16.96,11.27,61.53,887.52,Next Day,TRK35BC45A325,2025-03-26T11:08:42.818336,
239,135,55,,PROCESSING,308.73,21.65,5.31,86.6,378.99,Standard,,2024-09-15T22:56:09.818336,
240,54,126,1,REFUNDED,688.24,32.96,1.96,43.68,700.92,Next Day,,2026-05-15T06:09:44.818336,
241,34,157,,REFUNDED,798.49,14.59,6.92,30.89,821.71,Express,,2024-12-16T05:18:24.818336,
242,106,69,,PENDING,707.32,16.66,17.69,61.69,770.04,Next Day,,2025-03-25T08:35:51.818336,
243,7,93,,PROCESSING,559.09,17.61,0.97,97.4,639.85,Express,,2025-03-12T04:58:11.818336,
244,165,20,,CANCELLED,979.54,28.55,24.92,18.4,994.31,Standard,,2025-06-25T09:47:40.818336,
245,88,179,,DELIVERED,170.42,42.82,0.79,67.22,195.61,Express,TRKA48480F48C,2025-03-20T08:13:35.818336,2026-08-30T14:57:08.818336
246,77,135,,DELIVERED,844.63,16.07,13.14,10.41,852.11,Standard,TRKCB1D041914,2025-10-09T04:59:07.818336,2026-06-15T07:53:05.818336
247,126,150,,SHIPPED,403.46,6.13,18.18,38.15,453.66,Next Day,TRKFEE3D309D7,2026-04-04T19:54:38.818336,
248,101,195,,SHIPPED,750.43,5.15,0.67,73.95,819.9,Standard,TRK824B9C6887,2025-03-27T06:35:32.818336,
249,55,152,,REFUNDED,569.77,38.88,0.93,58.65,590.47,Standard,,2025-03-14T19:07:57.818336,
250,99,209,,REFUNDED,742.51,4.44,5.01,12.23,755.31,Express,,2025-12-14T20:49:46.818336,
251,111,98,,CANCELLED,333.28,11.28,13.88,45.54,381.42,Next Day,,2024-10-02T23:23:49.818336,
252,175,213,,CANCELLED,888.97,16.98,23.52,95.12,990.63,Express,,2026-05-29T22:02:00.818336,
253,32,145,10,DELIVERED,329.9,31.15,21.45,57.68,377.88,Standard,TRKB883FCE974,2025-02-11T14:19:24.818336,2025-05-10T20:40:04.818336
254,165,232,,SHIPPED,149.09,41.49,3.07,17.97,128.64,Next Day,TRK73E6E3F539,2026-03-16T22:27:20.818336,
255,124,37,,PENDING,844.94,30.4,7.5,55.17,877.21,Express,,2025-04-07T12:34:47.818336,
256,91,83,,PROCESSING,262.55,16.21,5.64,88.28,340.26,Standard,,2024-12-25T22:25:39.818336,
257,199,204,,PENDING,46.13,6.84,2.7,79.21,121.2,Next Day,,2024-10-19T23:39:27.818336,
258,76,170,,PROCESSING,197.28,34.23,17.72,34.83,215.6,Next Day,,2025-04-25T01:50:35.818336,
259,138,241,,DELIVERED,804.14,40.44,1.87,23.1,788.67,Next Day,TRK78CDBB8F2D,2026-06-01T17:52:46.818336,2026-07-26T01:34:07.818336
260,30,169,,DELIVERED,466.84,40.6,21.23,2.74,450.21,Express,TRK4BB3FEE4A1,2025-12-12T20:53:15.818336,2026-05-20T01:37:46.818336
261,10,187,,PROCESSING,995.4,22.16,16.87,55.72,1045.83,Next Day,,2025-07-20T03:42:48.818336,
262,200,40,,DELIVERED,606.86,43.31,14.41,99.46,677.42,Next Day,TRKA234B1D044,2025-05-03T01:24:04.818336,2026-09-08T21:30:22.818336
263,133,189,,CANCELLED,244.87,9.14,17.97,52.31,306.01,Next Day,,2024-10-22T10:36:50.818336,
264,5,54,,CONFIRMED,176.0,38.24,17.62,15.94,171.32,Express,,2024-11-21T23:00:37.818336,
265,151,48,,DELIVERED,611.78,24.25,6.4,82.65,676.58,Next Day,TRK6AF4576316,2026-09-15T03:11:50.818336,2026-09-15T09:26:46.818336
266,3,195,,REFUNDED,145.57,16.7,4.61,78.14,211.62,Express,,2026-07-03T23:39:38.818336,
267,35,153,4,CONFIRMED,948.92,20.42,24.43,57.75,1010.68,Express,,2026-02-09T12:41:23.818336,
268,8,66,15,CONFIRMED,430.71,24.52,9.61,50.97,466.77,Express,,2026-09-04T20:59:23.818336,
269,55,71,,DELIVERED,969.15,9.87,5.42,61.25,1025.95,Standard,TRK28B6D528B9,2025-08-15T05:01:29.818336,2026-06-20T20:54:17.818336
270,175,245,11,SHIPPED,173.31,25.02,19.57,87.83,255.69,Standard,TRK153F59A686,2025-11-18T23:20:33.818336,
271,68,28,16,CANCELLED,980.68,4.44,8.17,21.96,1006.37,Standard,,2026-03-19T10:36:31.818336,
272,132,99,,DELIVERED,671.55,29.57,6.15,74.21,722.34,Next Day,TRKCB7FB7DA00,2024-12-26T09:31:00.818336,2025-12-23T00:53:57.818336
273,78,204,,REFUNDED,528.47,2.95,0.11,17.75,543.38,Next Day,,2025-03-05T17:13:59.818336,
274,25,69,8,CANCELLED,666.6,45.18,2.4,49.78,673.6,Express,,2025-05-22T08:10:49.818336,
275,45,84,,PENDING,557.77,4.27,20.99,16.43,590.92,Express,,2026-08-06T19:48:37.818336,
276,154,189,,SHIPPED,140.29,44.95,11.84,61.36,168.54,Standard,TRKDEA82C876A,2024-11-17T16:33:39.818336,
277,195,236,,DELIVERED,644.57,1.66,4.29,63.25,710.45,Next Day,TRK25FD8D9623,2025-11-25T03:41:52.818336,2026-07-17T21:17:58.818336
278,164,146,,DELIVERED,664.76,27.51,4.26,38.49,680.0,Standard,TRK9F2F675845,2025-08-30T03:30:51.818336,2026-07-31T04:23:21.818336
279,75,169,,CANCELLED,549.78,46.06,19.22,67.98,590.92,Express,,2026-01-30T15:42:18.818336,
280,172,205,,CONFIRMED,419.14,40.01,9.26,8.21,396.6,Standard,,2025-11-10T21:16:12.818336,
281,42,245,,SHIPPED,489.6,44.94,9.8,22.64,477.1,Express,TRK5B0C18D546,2025-08-29T12:04:25.818336,
282,72,124,,REFUNDED,762.04,25.09,23.98,97.03,857.96,Standard,,2025-05-06T17:52:42.818336,
283,183,59,,DELIVERED,719.76,6.43,11.78,77.65,802.76,Standard,TRK9D04FB120B,2024-12-21T05:19:19.818336,2026-08-12T14:28:12.818336
284,153,89,,DELIVERED,783.85,25.8,21.01,79.94,859.0,Express,TRK109A286DF8,2025-10-26T22:17:56.818336,2026-07-24T22:24:35.818336
285,170,136,,CONFIRMED,251.87,30.62,20.59,56.96,298.8,Standard,,2024-12-23T02:36:46.818336,
286,63,249,,CANCELLED,309.56,2.43,13.34,48.81,369.28,Standard,,2026-05-05T21:35:36.818336,
287,15,2,,PENDING,994.86,17.16,8.18,76.33,1062.21,Next Day,,2024-10-21T20:31:21.818336,
288,83,186,1,REFUNDED,583.22,43.11,13.85,30.13,584.09,Express,,2025-08-04T01:17:19.818336,
289,47,179,,PROCESSING,771.99,11.81,13.56,14.01,787.75,Express,,2025-05-21T11:39:17.818336,
290,19,120,,DELIVERED,797.1,31.08,9.24,37.87,813.13,Standard,TRK0CB358D49A,2026-04-06T04:27:21.818336,2026-06-13T15:57:38.818336
291,23,207,,CANCELLED,409.21,39.05,14.31,31.4,415.87,Standard,,2025-07-04T05:16:44.818336,
292,147,78,,REFUNDED,89.09,12.31,0.6,22.32,99.7,Standard,,2025-09-04T20:15:10.818336,
293,163,160,,CANCELLED,296.32,25.62,7.21,25.3,303.21,Standard,,2025-04-27T17:04:35.818336,
294,66,190,,DELIVERED,508.21,20.25,1.78,7.6,497.34,Express,TRKD9884D37E3,2026-02-15T07:34:23.818336,2026-02-24T03:01:17.818336
295,109,9,,SHIPPED,384.03,39.55,7.0,74.97,426.45,Standard,TRKCA6C235A30,2025-08-14T08:52:22.818336,
296,186,3,,SHIPPED,373.33,31.56,17.8,50.73,410.3,Standard,TRK9E0E575C43,2024-12-07T23:59:01.818336,
297,136,224,,SHIPPED,833.85,0.53,22.12,75.92,931.36,Express,TRK537F878CC3,2024-10-21T07:47:19.818336,
298,190,168,,DELIVERED,825.83,17.65,20.14,21.61,849.93,Express,TRKB8AC713118,2025-08-23T21:15:54.818336,2026-03-30T13:52:48.818336
299,87,186,,PROCESSING,570.98,20.34,22.06,19.72,592.42,Next Day,,2026-04-07T16:38:02.818336,
300,198,241,,CANCELLED,484.77,24.99,21.38,81.78,562.94,Standard,,2026-03-26T07:29:45.818336,
