payment_id,order_id,payment_method,gateway_reference,amount,currency,status,processed_at
287,287,PayPal,GW_332ae6bf,1062.21,USD,REFUNDED,2025-08-14T18:44:31.818336
288,288,Bank Transfer,GW_bbfaaf49,584.09,USD,COMPLETED,2026-05-12T14:10:29.818336
289,289,Stripe,GW_378f5cab,787.75,USD,PENDING,2025-10-29T21:36:42.818336
290,290,PayPal,GW_124b1875,813.13,USD,REFUNDED,2026-04-07T09:56:19.818336
291,291,Bank Transfer,GW_32b80a17,415.87,USD,FAILED,2026-05-26T04:23:33.818336
292,292,Credit Card,GW_9b821ca3,99.7,USD,COMPLETED,2026-02-18T14:59:01.818336
293,293,Stripe,GW_fec08a56,303.21,USD,FAILED,2026-07-27T00:21:20.818336
294,294,Bank Transfer,GW_7d01e211,497.34,USD,PENDING,2026-06-17T10:05:15.818336
295,295,Stripe,GW_8f2a15f8,426.45,USD,REFUNDED,2025-12-10T08:57:41.818336
296,296,PayPal,GW_335d8dd7,410.3,USD,COMPLETED,2026-04-25T12:04:54.818336
297,297,Bank Transfer,GW_37474c69,931.36,USD,FAILED,2026-05-29T11:53:01.818336
298,298,Stripe,GW_8281bf6e,849.93,USD,PENDING,2026-03-18T16:39:04.818336
299,299,Stripe,GW_a55b3a3d,592.42,USD,REFUNDED,2026-05-10T13:16:10.818336
300,300,Credit Card,GW_0128f79d,562.94,USD,COMPLETED,2026-07-02T05:08:45.818336
